ts,CO2,TVOC,PM10,PM2.5,CO,Air Quality,LDR,O3,Temp,Hum
2024-05-22 12:10:00,422.25,15.25,5.215,0.29000000000000004,358.75,41.75,962.0,521.75,26.25,41.675
2024-05-22 12:15:00,422.33333335,17.25,5.762499999999999,0.2795833335,360.25,40.916666665,962.0,524.20833335,26.116666665,41.658333334999995
2024-05-22 12:20:00,421.7904762047619,18.395238095238096,6.052428571428571,0.2869761906190476,359.4047619047619,40.78571428428572,960.8476190476191,524.7880952523809,26.061904760476192,41.807142858571424
2024-05-22 12:25:00,421.2476190595238,19.54047619047619,6.342357142857143,0.2943690477380952,358.5595238095238,40.654761903571426,959.6952380952381,525.3678571547619,26.00714285595238,41.955952382142854
2024-05-22 12:30:00,420.7047619142857,20.685714285714283,6.632285714285715,0.3017619048571428,357.7142857142857,40.52380952285714,958.5428571428572,525.9476190571428,25.952380951428573,42.104761905714284
2024-05-22 12:35:00,420.16190476904757,21.830952380952382,6.922214285714286,0.30915476197619046,356.8690476190476,40.39285714214286,957.3904761904762,526.5273809595238,25.89761904690476,42.25357142928571
2024-05-22 12:40:00,419.6190476238095,22.976190476190474,7.212142857142857,0.3165476190952381,356.0238095238095,40.261904761428575,956.2380952380953,527.1071428619048,25.842857142380954,42.402380952857136
2024-05-22 12:45:00,419.0761904785714,24.12142857142857,7.502071428571429,0.3239404762142857,355.1785714285714,40.130952380714284,955.0857142857143,527.6869047642857,25.788095237857142,42.551190476428566
2024-05-22 12:50:00,418.5333333333333,25.266666666666666,7.792000000000001,0.3313333333333333,354.3333333333333,40.0,953.9333333333334,528.2666666666667,25.733333333333334,42.699999999999996
2024-05-22 12:55:00,426.03999999999996,24.919999999999998,8.0828,0.4236,340.2,40.120000000000005,899.8399999999999,536.04,25.588,42.908
2024-05-22 13:00:00,423.8,27.880000000000003,7.358,0.4652,343.6,39.2,880.5600000000001,525.72,26.74,41.18
2024-05-22 13:05:00,414.88,40.0,10.6124,0.666,343.03999999999996,38.44,862.36,519.6800000000001,28.284,39.664
2024-05-22 13:10:00,409.36,41.8,7.7024,0.6176,335.4,37.36,851.1600000000001,513.64,29.380000000000003,38.519999999999996
2024-05-22 13:15:00,414.76000000000005,40.2,7.6268,0.5036,326.28000000000003,36.559999999999995,851.64,508.64,30.112000000000002,37.792
2024-05-22 13:20:00,440.84,21.4,7.9988,0.5476,321.48,35.6,851.0,505.23999999999995,30.572000000000003,37.312
2024-05-22 13:25:00,425.36,19.119999999999997,7.1964,0.5660000000000001,316.84000000000003,37.239999999999995,849.4799999999999,502.84,30.868000000000002,36.948
2024-05-22 13:30:00,425.08000000000004,33.6,6.7904,0.44160000000000005,315.71999999999997,36.6,848.5600000000001,502.2,31.083999999999996,36.668
2024-05-22 13:35:00,433.76000000000005,25.36,6.6048,0.5044000000000001,314.84000000000003,38.4,849.4799999999999,500.88,31.272000000000002,36.452
2024-05-22 13:40:00,421.12,33.52,6.8915999999999995,0.6168,310.24,38.28,850.0,499.2,31.384000000000004,36.396
2024-05-22 13:45:00,418.76000000000005,20.2,6.7296,0.5644,306.08000000000004,38.67999999999999,850.2800000000001,498.68,31.536,36.292
2024-05-22 13:50:00,418.0,32.96,5.8012,0.44320000000000004,301.6,36.12,849.1200000000001,496.88,31.639999999999997,36.164
2024-05-22 13:55:00,417.36,25.839999999999996,5.5924,0.4184,304.76,35.88,575.2,496.6,31.764,36.06
2024-05-22 14:00:00,687.88,22.32,5.6612,0.4196,315.12,38.6,821.4399999999999,507.0,31.939999999999998,37.1
2024-05-22 14:05:00,516.96,21.32,6.977200000000001,0.4516,315.6,38.8,850.6,512.72,32.239999999999995,38.636
2024-05-22 14:10:00,417.84,34.92,6.2152,0.4772,310.36,37.2,849.2,506.91999999999996,32.408,38.339999999999996
2024-05-22 14:15:00,416.32,32.88,6.0664,0.712,309.84000000000003,38.519999999999996,848.76,504.36,32.392,37.5
2024-05-22 14:20:00,418.76000000000005,31.160000000000004,5.18,0.38639999999999997,310.48,38.44,855.36,501.68,32.392,36.968
2024-05-22 14:25:00,413.0,36.4,5.002,0.2892,306.08000000000004,38.2,893.72,499.96000000000004,32.324,36.584
2024-05-22 14:30:00,417.93333333333334,45.6,115.83299999999998,15.748666666666667,310.40000000000003,44.56666666666666,870.4666666666667,527.8000000000001,30.833333333333332,36.96
2024-05-22 14:35:00,534.8888888888889,40.577777777777776,124.2068888888889,18.935777777777776,307.9111111111111,69.62222222222222,585.6222222222223,560.3555555555555,28.444444444444443,39.871111111111105
2024-05-22 14:40:00,617.6,17.44,5.314,0.4176,316.36,38.36,804.92,507.6,32.652,36.924
2024-05-22 14:45:00,800.96,61.160000000000004,5.7588,0.3612,369.91999999999996,39.0,913.8,519.92,32.964,37.848
2024-05-22 14:50:00,964.0,80.88,4.8736,0.2988,378.52,36.96,910.6,516.0,33.0,36.824
2024-05-22 14:55:00,759.9333333333334,35.63333333333333,7.997666666666667,0.7999999999999999,337.76666666666665,47.9,871.5333333333333,524.1999999999999,31.486666666666665,37.98
2024-05-22 15:00:00,414.0,44.160000000000004,5.112,0.44800000000000006,331.08000000000004,36.839999999999996,908.04,504.2,32.903999999999996,35.928
2024-05-22 15:05:00,410.23999999999995,49.0,5.4492,0.3764,318.44,36.36,885.6,501.12,32.839999999999996,35.668
2024-05-22 15:10:00,528.725,44.75,12.862250000000001,1.463,285.525,61.150000000000006,794.725,533.075,29.957499999999996,39.0625
2024-05-22 15:15:00,416.28000000000003,45.0,4.8308,0.21400000000000002,302.68,35.52,817.36,496.03999999999996,32.8,35.128
2024-05-22 15:20:00,653.4599999999999,33.67999999999999,9.172,1.1108,265.68,68.1,895.5799999999999,537.6,29.753999999999998,38.769999999999996
2024-05-22 15:25:00,666.4399999999999,39.4,5.8422,0.9366,258.34000000000003,70.47999999999999,921.26,537.12,30.248,38.832
2024-05-22 15:30:00,792.24,33.040000000000006,5.5682,0.932,280.06,74.74,933.3399999999999,548.6,31.144,41.058
2024-05-22 15:35:00,608.9142857142858,26.25714285714286,5.767142857142858,0.7374285714285714,289.5142857142857,60.0,913.7142857142857,530.0571428571428,32.27428571428572,38.23142857142857
2024-05-22 15:40:00,515.9142857142857,38.6,5.625142857142857,0.6651428571428571,285.14285714285717,60.05714285714286,902.1428571428571,524.0285714285714,32.37428571428571,37.74
2024-05-22 15:45:00,614.92,36.14,5.5822,0.8423999999999999,278.58000000000004,77.28,893.46,528.78,31.788,38.038
2024-05-22 15:50:00,622.5200000000001,40.08,5.2858,0.8612,268.82,75.34,889.0600000000001,521.28,31.928000000000004,37.542
2024-05-22 15:55:00,674.6600000000001,49.04,5.2744,0.9446,262.0,74.3,894.26,519.5600000000001,32.422000000000004,36.908
2024-05-22 16:00:00,697.5400000000001,51.04,5.7934,1.0128,266.41999999999996,74.16,909.6200000000001,521.38,32.834,36.364
2024-05-22 16:05:00,915.2,68.6,6.0648,0.9603999999999999,292.4,75.94,922.9399999999999,528.92,33.172000000000004,36.03
2024-05-22 16:10:00,964.0,65.96000000000001,5.4848,0.8493999999999999,288.15999999999997,75.9,873.9200000000001,526.78,33.258,35.838
2024-05-22 16:15:00,964.0,66.28,5.1116,0.8006,286.24,74.78,821.4799999999999,528.28,32.792,36.102
2024-05-22 16:20:00,936.74,66.58,5.1206000000000005,0.8448,285.36,78.02000000000001,925.9,532.76,32.786,37.226
2024-05-22 16:25:00,738.96,54.3,5.1934,0.8354000000000001,272.38,77.44,921.8,529.98,32.8,36.566
2024-05-22 16:30:00,685.6800000000001,68.42,5.0008,0.8272,260.71999999999997,77.28,913.5200000000001,522.66,32.782,35.814
2024-05-22 16:35:00,686.64,65.96000000000001,4.8416,0.8112,250.9,74.6,911.5799999999999,517.52,32.798,35.364
2024-05-22 16:40:00,686.08,67.58,4.808,0.8008000000000001,243.38000000000002,75.34,912.5600000000001,515.88,32.818,34.944
2024-05-22 16:45:00,686.86,62.98,4.987,0.7444,243.88000000000002,73.7,911.1,514.64,32.842,34.6
2024-05-22 16:50:00,690.58,47.18,4.8271999999999995,0.7727999999999999,243.01999999999998,70.46000000000001,910.8399999999999,512.6,32.85,34.358
2024-05-22 16:55:00,686.46,58.5,4.868399999999999,0.7866,241.76,73.97999999999999,915.72,511.03999999999996,32.844,34.196
2024-05-22 17:00:00,751.9,55.06,4.9858,0.756,268.82,75.56,916.5600000000001,517.08,32.784,34.116
